=== tasklist ===
"Nome da imagem","Identifica‡Æo pessoal","Nome da sessÆo","SessÆo#","Uso de mem¢ria"
"UserOOBEBroker.exe","10008","Console","1","11.064 K"
"ApplicationFrameHost.exe","720","Console","1","45.232 K"
"svchost.exe","19840","Console","1","14.692 K"
"svchost.exe","19236","Services","0","7.736 K"
"comet.exe","18300","Console","1","265.984 K"
"comet.exe","13952","Console","1","9.536 K"
"comet.exe","19180","Console","1","191.624 K"
"comet.exe","2616","Console","1","52.660 K"
"comet.exe","12984","Console","1","20.504 K"
"comet.exe","15864","Console","1","30.320 K"
"comet.exe","18412","Console","1","19.752 K"
"comet.exe","19632","Console","1","115.440 K"
"comet.exe","1740","Console","1","86.684 K"
"comet.exe","15612","Console","1","45.820 K"
"comet.exe","7908","Console","1","538.416 K"
"comet.exe","15632","Console","1","45.584 K"
"comet.exe","13696","Console","1","56.088 K"
"ShellExperienceHost.exe","14848","Console","1","73.068 K"
"chrome.exe","7736","Console","1","269.796 K"
"chrome.exe","19724","Console","1","9.532 K"
"chrome.exe","9084","Console","1","147.360 K"
"chrome.exe","22344","Console","1","60.776 K"
"chrome.exe","21520","Console","1","20.208 K"
"chrome.exe","7212","Console","1","77.520 K"
"chrome.exe","22248","Console","1","54.044 K"
"RuntimeBroker.exe","23156","Console","1","31.380 K"
"svchost.exe","19744","Console","1","17.708 K"
"SystemSettings.exe","23748","Console","1","1.936 K"
"chrome.exe","22316","Console","1","22.324 K"
"backgroundTaskHost.exe","9172","Console","1","74.428 K"
"RuntimeBroker.exe","21124","Console","1","31.448 K"
"dllhost.exe","23768","Console","1","14.688 K"
"claude.exe","25016","Console","1","343.100 K"
"claude.exe","23100","Console","1","31.316 K"
"claude.exe","22348","Console","1","165.324 K"
"claude.exe","19176","Console","1","65.592 K"
"claude.exe","20088","Console","1","67.892 K"
"claude.exe","2320","Console","1","802.336 K"
"claude.exe","17416","Console","1","110.324 K"
"claude.exe","21812","Console","1","95.752 K"
"claude.exe","12864","Console","1","115.580 K"
"claude.exe","24696","Console","1","115.288 K"
"claude.exe","6532","Console","1","123.864 K"
"conhost.exe","8940","Console","1","8.328 K"
"powershell.exe","14392","Console","1","62.808 K"
"conhost.exe","9164","Console","1","8.292 K"
"powershell.exe","12412","Console","1","59.700 K"
"conhost.exe","22496","Console","1","8.244 K"
"powershell.exe","25136","Console","1","58.212 K"
"TabTip.exe","1040","Console","1","58.304 K"
"claude.exe","13760","Console","1","320.696 K"
"conhost.exe","9524","Console","1","8.300 K"
"headroom.exe","9460","Console","1","4.196 K"
"conhost.exe","25384","Console","1","7.440 K"
"python.exe","19860","Console","1","21.944 K"
"cmd.exe","3068","Console","1","6.304 K"
"conhost.exe","10156","Console","1","7.468 K"
"node.exe","11960","Console","1","50.556 K"
"cmd.exe","14920","Console","1","6.364 K"
"node.exe","18164","Console","1","49.520 K"
"conhost.exe","25412","Console","1","8.232 K"
"powershell.exe","6196","Console","1","64.516 K"
"conhost.exe","22400","Console","1","10.120 K"
"OpenConsole.exe","15516","Console","1","19.528 K"
"WindowsTerminal.exe","12548","Console","1","76.224 K"
"claude.exe","4652","Console","1","275.948 K"
"conhost.exe","14908","Console","1","8.280 K"
"headroom.exe","17112","Console","1","4.184 K"
"conhost.exe","9136","Console","1","7.428 K"
"python.exe","16136","Console","1","18.436 K"
